The following GPUs could not be reset:
  GPU 00000000:18:00.0: Not Supported
  GPU 00000000:29:00.0: Not Supported
  GPU 00000000:3A:00.0: Not Supported
  GPU 00000000:4B:00.0: Not Supported
  GPU 00000000:9A:00.0: Not Supported
  GPU 00000000:AA:00.0: Not Supported
  GPU 00000000:BA:00.0: Not Supported
  GPU 00000000:CA:00.0: Not Supported
{'loss': 0.5292, 'grad_norm': 4.284835338592529, 'learning_rate': 3.125e-07, 'epoch': 0.01}
{'loss': 0.5338, 'grad_norm': 3.968677520751953, 'learning_rate': 6.25e-07, 'epoch': 0.02}
{'loss': 0.527, 'grad_norm': 4.185715198516846, 'learning_rate': 9.375000000000001e-07, 'epoch': 0.02}
{'loss': 0.5343, 'grad_norm': 4.172255992889404, 'learning_rate': 1.25e-06, 'epoch': 0.03}
{'loss': 0.5193, 'grad_norm': 3.886296272277832, 'learning_rate': 1.5625e-06, 'epoch': 0.04}
{'loss': 0.5535, 'grad_norm': 3.7419707775115967, 'learning_rate': 1.8750000000000003e-06, 'epoch': 0.05}
{'loss': 0.5264, 'grad_norm': 3.5648560523986816, 'learning_rate': 2.1875000000000002e-06, 'epoch': 0.06}
{'loss': 0.4896, 'grad_norm': 3.3815064430236816, 'learning_rate': 2.5e-06, 'epoch': 0.06}
{'loss': 0.525, 'grad_norm': 2.1951193809509277, 'learning_rate': 2.8125e-06, 'epoch': 0.07}
{'loss': 0.4926, 'grad_norm': 1.76931893825531, 'learning_rate': 3.125e-06, 'epoch': 0.08}
{'loss': 0.5022, 'grad_norm': 1.4781087636947632, 'learning_rate': 3.4375e-06, 'epoch': 0.09}
{'loss': 0.4676, 'grad_norm': 2.5212562084198, 'learning_rate': 3.7500000000000005e-06, 'epoch': 0.1}
{'loss': 0.4804, 'grad_norm': 2.785806894302368, 'learning_rate': 4.0625000000000005e-06, 'epoch': 0.1}
{'loss': 0.4621, 'grad_norm': 2.7365198135375977, 'learning_rate': 4.3750000000000005e-06, 'epoch': 0.11}
{'loss': 0.4944, 'grad_norm': 3.0004489421844482, 'learning_rate': 4.6875000000000004e-06, 'epoch': 0.12}
{'loss': 0.4919, 'grad_norm': 2.270639657974243, 'learning_rate': 5e-06, 'epoch': 0.13}
{'loss': 0.4893, 'grad_norm': 1.5938529968261719, 'learning_rate': 5.3125e-06, 'epoch': 0.14}
